name,selling_price,year,seller_type,owner,km_driven,ex_showroom_price,motor_age,kategori_motor,harga_wajar,profit_margin,profit_status
Honda Dio,45000.0,2017,Individual,1st owner,5650.0,72752.5,8,Baru,55000.0,-10000.0,Rugi
Yamaha Fazer FI V 2.0 [2016-2018],65000.0,2015,Individual,1st owner,23000.0,89643.0,10,Lama,45000.0,20000.0,Untung
Yamaha SZ [2013-2014],20000.0,2011,Individual,2nd owner,21000.0,72752.5,14,Lama,29000.0,-9000.0,Rugi
Honda CB Twister,18000.0,2010,Individual,1st owner,60000.0,53857.0,15,Lama,25000.0,-7000.0,Rugi
Honda CB Hornet 160R,78500.0,2018,Individual,1st owner,17000.0,87719.0,7,Baru,65000.0,13500.0,Untung
Hero Honda CBZ extreme,30000.0,2010,Individual,1st owner,32000.0,72752.5,15,Lama,25000.0,5000.0,Untung
Bajaj Discover 125,50000.0,2016,Individual,1st owner,42000.0,60122.0,9,Baru,50000.0,0.0,Netral
Yamaha FZ16,35000.0,2015,Individual,1st owner,32000.0,78712.0,10,Lama,45000.0,-10000.0,Rugi
Honda Navi,28000.0,2016,Individual,2nd owner,10000.0,47255.0,9,Baru,45000.0,-17000.0,Rugi
Bajaj Avenger Street 220,80000.0,2018,Individual,1st owner,21178.0,95955.0,7,Baru,65000.0,15000.0,Untung
Suzuki Access 125 [2007-2016],25000.0,2012,Individual,1st owner,55000.0,58314.0,13,Lama,30000.0,-5000.0,Rugi
Hero Honda Glamour,25000.0,2006,Individual,1st owner,27000.0,72752.5,19,Lama,17600.0,7400.0,Untung
Yamaha YZF R15 S,40000.0,2010,Individual,2nd owner,45000.0,117926.0,15,Lama,25000.0,15000.0,Untung
Yamaha FZ25,120000.0,2018,Individual,1st owner,39000.0,132680.0,7,Baru,65000.0,55000.0,Untung
Hero Passion Pro 110,15000.0,2008,Individual,1st owner,60000.0,72752.5,17,Lama,25000.0,-10000.0,Rugi
Honda Navi [2016-2017],26000.0,2016,Individual,1st owner,17450.0,44389.0,9,Baru,50000.0,-24000.0,Rugi
Honda Activa i,32000.0,2013,Individual,2nd owner,20696.0,53900.0,12,Lama,25000.0,7000.0,Untung
Royal Enfield Thunderbird 350,110000.0,2016,Individual,1st owner,20000.0,72752.5,9,Baru,50000.0,60000.0,Untung
Honda Dream Yuga,25000.0,2012,Individual,1st owner,35000.0,56147.0,13,Lama,30000.0,-5000.0,Rugi
TVS Apache RTR 160 4V,80000.0,2018,Individual,1st owner,15210.0,72752.5,7,Baru,65000.0,15000.0,Untung
Honda Navi [2016-2017],42000.0,2017,Individual,1st owner,24000.0,44389.0,8,Baru,55000.0,-13000.0,Rugi
Yamaha Fazer [2009-2016],40000.0,2013,Individual,3rd owner,35000.0,84751.0,12,Lama,40000.0,0.0,Netral
Hero Honda Splendor NXG,21000.0,2009,Individual,1st owner,10000.0,72752.5,16,Lama,23000.0,-2000.0,Rugi
Hero Glamour 125,55000.0,2017,Individual,1st owner,2500.0,61600.0,8,Baru,55000.0,0.0,Netral
Yamaha FZ S [2012-2016],38000.0,2013,Individual,1st owner,75000.0,79432.0,12,Lama,36500.0,1500.0,Untung
Hero Xtreme Sports,43000.0,2016,Individual,2nd owner,50000.0,78350.0,9,Baru,45000.0,-2000.0,Rugi
Honda X-Blade,65000.0,2018,Individual,1st owner,27000.0,72752.5,7,Baru,65000.0,0.0,Netral
Honda CB Shine SP,62000.0,2019,Individual,1st owner,10000.0,71049.0,6,Baru,75000.0,-13000.0,Rugi
Honda Activa 5G,60000.0,2018,Individual,1st owner,6502.0,57557.0,7,Baru,65000.0,-5000.0,Rugi
Hero Glamour 125,45000.0,2018,Individual,1st owner,21000.0,61600.0,7,Baru,65000.0,-20000.0,Rugi
Honda CBR-250R,120000.0,2016,Individual,1st owner,16000.0,202310.0,9,Baru,50000.0,70000.0,Untung
Hero Honda Passion PRO [2012],30000.0,2011,Individual,1st owner,42000.0,72752.5,14,Lama,25000.0,5000.0,Untung
Royal Enfield Thunderbird 350,90000.0,2015,Individual,3rd owner,13000.0,72752.5,10,Lama,90000.0,0.0,Netral
Bajaj Dominar 400,125000.0,2017,Individual,1st owner,12800.0,72752.5,8,Baru,55000.0,70000.0,Untung
Hero Glamour FI,50000.0,2018,Individual,1st owner,20000.0,71150.0,7,Baru,65000.0,-15000.0,Rugi
Hero Passion XPro,28000.0,2012,Individual,1st owner,81000.0,56750.0,13,Lama,30000.0,-2000.0,Rugi
Yamaha FZ S V 2.0,85000.0,2018,Individual,1st owner,8000.0,84042.0,7,Baru,65000.0,20000.0,Untung
Hero Achiever 150,29900.0,2016,Individual,1st owner,55000.0,69750.0,9,Baru,50000.0,-20100.0,Rugi
Bajaj Discover 125,25000.0,2011,Individual,1st owner,57000.0,60122.0,14,Lama,25000.0,0.0,Netral
Yamaha FZ16,30000.0,2009,Individual,2nd owner,26000.0,78712.0,16,Lama,20000.0,10000.0,Untung
Yamaha Saluto,60000.0,2018,Individual,1st owner,13000.0,59844.0,7,Baru,65000.0,-5000.0,Rugi
Yamaha FZ16,35000.0,2012,Individual,2nd owner,29000.0,78712.0,13,Lama,26000.0,9000.0,Untung
Bajaj Discover 100,25000.0,2010,Individual,1st owner,43000.0,42859.0,15,Lama,25000.0,0.0,Netral
Honda CB Trigger,30000.0,2015,Individual,1st owner,40000.0,73413.0,10,Lama,45000.0,-15000.0,Rugi
